text,label,split,text_clean
"ini salah satu restoran favorit saya jika berkunjung ke bandung . lokasi nya strategis , makanan nya lengkap dan bervariasi . layanan ramah dan harga lumayan bersaing . tetapi yang paling oke adalah suasana nya . memuaskan .",positive,train,salah satu restoran favorit jika kunjung bandung lokasi nya strategis makan nya lengkap variasi layan ramah harga lumayan saing yang paling oke suasana nya muas
"kalau lagi kangen sama beancurd singapore ini lumayan . tapi sayang nya ya tidak benar-benar seenak asli nya . puding nya lembut , rasanya beragam",positive,train,kalau kangen sama beancurd singapore lumayan sayang nya tidak benar benar enak asli nya puding nya lembut rasa agam
itu pak polisi nya mau ikut pura-pura bosan tugas terus,negative,train,pak polisi nya mau ikut pura pura bosan tugas terus
"variasi makanan nya banyak dan dengan harga yang sangat bersahabat , namun untuk makanan ayam penyet dan masakan lainnya tingkat kepedasan nya saya rasa kurang karena lebih terasa manis , untuk pecinta makanan pedas cobain tahu gejrot dan meminta cabai nya banyak atau pedas , dijamin berkeringat .",positive,train,variasi makan nya banyak dengan harga sangat sahabat makan ayam penyet masakan lain tingkat pedas nya rasa kurang lebih asa manis untuk cinta makan pedas cobain tahu gejrot minta cabai nya banyak pedas jamin keringat
dasar pribumi-pribumi anjing ! tidak ada kami kalian pada nganggur ! pada mati kelaparan kalian !,negative,train,dasar pribumi pribumi anjing ada kalian nganggur mati lapar kalian
"tempat nya nyaman dan nyaman , harga lumayan agak mahal namun rasanya enak jadi pas , cocok buat arisan dan nongkrong sama teman atau buat acara keluarga juga oke",positive,train,tempat nya nyaman nyaman harga lumayan mahal rasa enak jadi pas cocok buat arisan nongkrong sama teman buat acara keluarga oke
"agak tidak paham , di film nya itu dia sakit organ dalam tapi yang diperiksa foto rontgen tulang . bisa toh ? bosan juga ya , konflik nya tertebak sekali dan adegan-adegan nya cepat banget ganti nya . ya maklum ilah ya , apa-apa pas itu masih serba terbatas juga .",negative,train,tidak paham film nya dia sakit organ tapi periksa foto rontgen tulang toh bosan konflik nya tebak sekali adegan adegan nya cepat banget ganti nya maklum ilah ya apa apa pas masih serba batas
samsung kamera jelek . terus lu baru download beberapa aplikasi seperti line ig aku twitter memori sudah penuh saja,negative,train,samsung kamera jelek terus lu baru download beberapa aplikasi line ig aku twitter memori penuh
"setelah bolak balik pvj akhirnya kita memutuskan untuk makan malam di sini sekitar pakai 20:00 . dari menu sudah banyak yang tidak ada . akhirnya pesanlah kita salmon crunchy mk yang lebih baik dari semua makanan kita pesan . salmon skin fried keras seperti digoreng ulang . spicy karage mk keras sekali daging karage nya , sulit untuk dikunyah . dan yang paling mengecewakan rumah special ramen , selama 20 .",negative,train,bolak balik pvj akhir putus makan malam sini pakai menu banyak tidak akhir pesan salmon crunchy mk lebih baik semua makan pesan salmon skin fried keras goreng ulang spicy karage mk keras sekali daging karage nya sulit kunyah yang paling kecewa rumah special ramen lama
"gausah ditungguin guys comeback nya exo , tahu sendiri menunggu itu pekerjaan paling melelahkan dan menyebalkan .",negative,train,gausah ditungguin guys comeback nya exo tahu sendiri tunggu kerja paling lelah sebal
